Time: 11:10:16,	 Velocity: 143.6,	 Sink: 4.0,	 Performance: -2.576,	 CL: 0.564,	 CD: 0.031,	Bank_Angle: -3.0 	 Flap:0
Time: 11:18:36,	 Velocity: 131.5,	 Sink: 2.294,	 Performance: nan,	 CL: 0.801,	 CD: nan,	Bank_Angle: 23.0 	 Flap:5
Time: 11:26:56,	 Velocity: 131.2,	 Sink: 0.342,	 Performance: nan,	 CL: 0.801,	 CD: nan,	Bank_Angle: 21.0 	 Flap:5
Time: 11:35:16,	 Velocity: 126.9,	 Sink: -0.172,	 Performance: nan,	 CL: 0.832,	 CD: nan,	Bank_Angle: -17.5 	 Flap:5
Time: 11:43:36,	 Velocity: 109.1,	 Sink: 0.266,	 Performance: -4.509,	 CL: 1.237,	 CD: 0.144,	Bank_Angle: -28.5 	 Flap:13.5
Time: 11:51:56,	 Velocity: 111.4,	 Sink: 0.362,	 Performance: -60.942,	 CL: 1.214,	 CD: 1.899,	Bank_Angle: -29.0 	 Flap:13.5
Time: 12:00:16,	 Velocity: 135.3,	 Sink: -1.316,	 Performance: nan,	 CL: 0.703,	 CD: nan,	Bank_Angle: -16.5 	 Flap:5
Time: 12:08:36,	 Velocity: 140.0,	 Sink: 0.54,	 Performance: nan,	 CL: 0.667,	 CD: nan,	Bank_Angle: 12.0 	 Flap:5
Time: 12:16:56,	 Velocity: 142.3,	 Sink: -0.696,	 Performance: nan,	 CL: 0.626,	 CD: nan,	Bank_Angle: 13.0 	 Flap:5
Time: 12:25:16,	 Velocity: 178.6,	 Sink: 1.6,	 Performance: -4.254,	 CL: 0.417,	 CD: 0.029,	Bank_Angle: -3.0 	 Flap:0
Time: 12:33:36,	 Velocity: 156.9,	 Sink: -0.638,	 Performance: -3.066,	 CL: 0.555,	 CD: 0.031,	Bank_Angle: -19.0 	 Flap:0
Time: 12:41:56,	 Velocity: 114.6,	 Sink: -0.762,	 Performance: -644.105,	 CL: 1.198,	 CD: 17.474,	Bank_Angle: -37.5 	 Flap:13.5
Time: 12:50:16,	 Velocity: 133.7,	 Sink: -0.146,	 Performance: nan,	 CL: 0.750,	 CD: nan,	Bank_Angle: -22.5 	 Flap:5
Time: 12:58:36,	 Velocity: 140.0,	 Sink: -0.026,	 Performance: nan,	 CL: 0.631,	 CD: nan,	Bank_Angle: -1.0 	 Flap:5
Time: 13:06:56,	 Velocity: 149.8,	 Sink: 0.308,	 Performance: -2.734,	 CL: 0.561,	 CD: 0.031,	Bank_Angle: -4.0 	 Flap:0
Time: 13:15:16,	 Velocity: 185.1,	 Sink: 0.304,	 Performance: -4.852,	 CL: 0.373,	 CD: 0.029,	Bank_Angle: -4.5 	 Flap:0
Time: 13:23:36,	 Velocity: 188.8,	 Sink: -0.418,	 Performance: -5.198,	 CL: 0.351,	 CD: 0.028,	Bank_Angle: -2.5 	 Flap:0
Time: 13:31:56,	 Velocity: 154.3,	 Sink: 0.086,	 Performance: -2.982,	 CL: 0.567,	 CD: 0.031,	Bank_Angle: 20.5 	 Flap:0
Time: 13:40:16,	 Velocity: 169.3,	 Sink: 0.688,	 Performance: -3.770,	 CL: 0.485,	 CD: 0.030,	Bank_Angle: 21.0 	 Flap:0
Time: 13:48:36,	 Velocity: 205.0,	 Sink: -1.452,	 Performance: -7.011,	 CL: 0.291,	 CD: 0.029,	Bank_Angle: -5.0 	 Flap:-3
